Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/app/rsakey/get,1,117,117,117,117,117,117,117,0.000%,8.54701,6.17,2.70
获取加密encpw,1,8,8,8,8,8,8,8,0.000%,125.00000,0.00,0.00
/app/member/id/login,1,82,82,82,82,82,82,82,0.000%,12.19512,13.65,8.30
/app/episode/info/v3,13371,448,417,642,742,995,114,2056,0.000%,221.24231,2681.68,223.90
/app/title/ranking2,10398,575,567,745,797,901,51,1601,0.000%,172.68123,11741.07,172.52
/app/author/info2,5244,1149,1151,1500,1598,1780,91,2158,0.000%,86.58466,355.08,85.93
/app/setup/localPushInfo,36004,163,125,334,385,569,20,1379,0.000%,598.64986,348.40,594.59
/app/home/menu/detail,37190,158,130,291,370,535,26,1248,0.000%,617.71252,3006.06,614.87
/app/title/info2,40021,146,122,246,312,448,44,1244,0.000%,666.11741,856.00,656.56
/app/episode/list/v3,85220,137,116,227,279,406,30,1175,0.000%,83.33961,1151.19,84.03
/app/favorite/totalList2,49466,118,104,178,233,345,18,3223,0.000%,820.69915,370.03,818.62
/app/getHotWordNew,46549,126,109,201,240,311,43,587,0.000%,774.89970,1059.23,755.52
/app/home/card2,12680,473,365,708,885,3316,151,6254,0.000%,206.52811,5898.11,203.83
/app/myComics/everyoneWatching,46493,126,106,208,257,356,19,3132,0.000%,771.36079,3357.96,786.46
/app/shareLog,48980,120,101,164,219,318,21,9119,0.000%,815.20563,323.77,833.96
/app/collection/info,46691,124,107,221,272,378,14,1250,0.000%,776.66883,1101.73,777.71
/app/setup/getEmailAlarmInfo,47210,123,107,212,273,401,14,496,0.000%,785.99494,488.73,780.92
/app/episode/motiontoonList/download,47243,124,110,181,229,302,26,3155,0.000%,785.89014,785.23,822.01
/app/starScore/getMy,49085,119,104,176,229,296,22,3174,0.000%,813.50061,345.34,814.98
/app/starScore/set,46215,127,110,202,241,319,39,1214,0.000%,768.44416,326.24,775.47
/app/favorite/add,41807,140,118,237,294,480,28,1116,0.000%,695.94820,276.49,712.48
/app/favorite/totalRemove,45485,129,114,205,247,336,25,1179,0.000%,756.85974,302.12,894.18
/app/setup/getAlarmInfo,46603,125,106,216,278,408,13,588,0.000%,773.72493,509.91,820.45
/app/comment/titleEpisodeInfo2,49329,119,99,164,212,293,22,3322,0.000%,820.41346,1418.04,898.70
/v1/comment_reply,1473,4171,3587,7881,9093,11435,953,15033,0.000%,23.54916,100.46,21.51
/v1/comment/detail,29961,197,182,300,350,460,30,920,0.000%,499.27511,5012.87,555.96
/v2/comment,51264,231,210,378,439,561,41,804,0.000%,284.40815,1813.79,283.39
/app/home4,3763,1602,1543,2204,2387,2801,689,3728,0.000%,61.83653,1877.90,60.51
/app/title/list2,2621,2301,2188,3513,3988,4656,213,6527,0.000%,42.86883,33900.99,41.44
/app/home/menu/module/more,47482,122,104,199,254,396,11,3311,0.000%,790.45764,313.96,793.08
/app/title/recommend2,46245,126,110,205,247,337,36,748,0.000%,769.85184,1267.37,759.52
/app/member/phoneNumber/get,45316,127,110,222,285,397,11,1135,0.000%,754.56241,270.99,748.94
/app/setup/setAlarmInfo,41773,140,129,217,261,373,27,1208,0.000%,693.27027,276.78,800.98
/app/myFavorite2,48564,121,104,177,218,276,26,3261,0.000%,808.06669,833.09,809.96
/app/banner/meet/mytab,46856,124,108,204,248,349,15,3296,0.000%,780.27010,309.92,770.66
/v1/title/like/count,49627,118,91,168,233,529,11,10074,0.000%,825.39709,599.23,824.53
/v1/title/$titleno/episode/$episodeno/like,96395,121,100,197,260,404,13,9040,0.000%,535.06406,381.93,573.85
/v1/ppl/statistics,47411,122,105,225,290,395,15,600,0.000%,789.18370,315.00,816.40
/app/promotionInfo,48408,121,107,181,230,283,25,3277,0.000%,805.79276,659.20,808.46
/app/member/nickname/validate,48715,119,101,196,247,391,13,9110,0.000%,810.59270,343.33,820.33
/app/client/version,48614,120,102,193,243,389,17,9057,0.000%,809.23528,607.15,796.90
/app/collection/list,47503,122,108,178,260,397,15,3142,0.000%,791.29464,12807.37,780.00
/app/retention/episode/info,49614,118,98,167,208,271,20,9199,0.000%,826.21149,328.14,841.03
/app/favorite/totalRemoveAll,48897,119,102,191,242,369,17,9142,0.000%,814.59701,325.12,809.34
/app/home/recommend2,47525,123,107,176,233,326,21,3191,0.000%,785.07004,7728.60,773.87
/app/member/info/v2,48747,120,102,164,217,298,17,9118,0.000%,811.48974,527.55,799.13
/app/retention/title/info,49403,119,103,173,223,281,22,3270,0.000%,822.20484,327.79,824.22
/app/home/leadUpLook,48412,120,101,188,240,395,15,9071,0.000%,805.88617,2058.56,787.31
/app/serviceInfo,46991,122,106,216,275,367,10,1274,0.000%,782.34883,625.52,768.13
/app/home/menus,46543,125,107,220,273,400,12,1159,0.000%,772.12628,1241.69,750.55
/app/favorite/isFavorite,47906,122,104,182,225,281,25,9261,0.000%,797.59586,319.13,799.29
/app/ppl/info,45024,128,108,221,269,402,11,1121,0.000%,749.62539,524.71,755.75
