Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/app/title/list2,15593,1917,1861,2888,3231,3861,97,5986,0.000%,51.73266,35860.54,50.30
TOTAL,15593,1917,1861,2888,3231,3861,97,5986,0.000%,51.73266,35860.54,50.30
