Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/app/activate,210555,131,110,240,313,414,13,1189,0.000%,701.33102,287.88,718.58
/app/home4,38274,779,772,935,994,1162,123,5318,0.003%,127.42751,3644.75,133.58
TOTAL,248829,231,118,731,824,972,13,5318,0.000%,376.68261,1788.07,387.32
