Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/app/rsakey/get,1,64,64,64,64,64,64,64,0.000%,15.62500,11.28,4.94
获取加密encpw,1,10,10,10,10,10,10,10,0.000%,100.00000,0.00,0.00
/app/member/id/login,1,71,71,71,71,71,71,71,0.000%,14.08451,15.76,9.59
/app/author/info2,24497,1838,1850,2400,2550,2852,48,3739,0.000%,81.38917,332.37,80.97
/app/title/ranking2,45905,978,957,1296,1396,1595,71,2140,0.000%,152.82055,10387.25,152.85
/app/episode/info/v3,78245,573,544,749,870,1263,118,3358,0.000%,260.50059,3401.91,263.97
/app/setup/localPushInfo,50782,885,841,1407,1583,1860,55,2554,0.000%,168.99618,98.37,167.86
/app/title/info2,225810,192,164,323,397,595,19,3194,1.918%,752.31883,1022.26,741.74
/app/favorite/totalList2,226424,187,156,341,503,663,16,9318,0.000%,753.32289,339.47,751.60
/app/getHotWordNew,233210,186,156,293,361,607,39,9247,0.000%,776.87206,1061.70,757.64
/app/home/card2,74225,604,470,945,1158,4299,155,8389,0.000%,246.33934,6942.65,243.38
/app/myComics/everyoneWatching,173108,253,215,452,536,695,19,3364,0.000%,576.73061,2510.46,588.10
/app/shareLog,232549,184,156,322,474,694,19,9312,0.000%,774.88696,307.56,792.35
/app/collection/info,229484,184,155,340,508,655,13,9174,0.000%,764.68922,1081.83,765.92
/app/setup/getEmailAlarmInfo,228995,184,155,343,494,650,13,9165,0.000%,762.99112,474.22,758.26
/app/starScore/getMy,231390,184,152,319,477,672,18,9872,0.000%,770.82466,326.99,772.32
/app/favorite/add,192743,225,177,430,566,837,26,4448,0.000%,642.14917,254.82,657.60
/app/favorite/totalRemove,228735,188,158,325,426,663,23,3471,0.000%,762.14260,303.84,900.64
/app/setup/getAlarmInfo,230712,183,156,329,475,630,13,9161,0.000%,768.58909,505.87,814.57
/app/comment/titleEpisodeInfo2,229488,186,155,318,464,677,20,9560,0.000%,764.56752,1318.98,837.73
/v1/comment_reply,6161,7359,7011,12052,13590,16540,1291,22435,0.000%,20.24999,29.96,18.66
/v1/comment/detail,158657,280,269,392,445,566,32,952,0.000%,528.55011,5258.75,588.78
/v2/comment,258445,345,331,483,536,651,41,1122,0.000%,391.25077,2488.67,389.91
/app/home4,21821,2062,2023,2642,2845,3274,878,5294,0.000%,72.50176,2249.16,71.20
/app/title/list2,14712,3051,2930,4593,5142,6332,194,9807,0.000%,48.80428,38474.02,47.42
/app/home/menu/module/more,225726,187,157,344,491,679,11,3986,0.000%,746.03395,296.12,748.69
/app/title/recommend2,233133,186,158,294,364,597,28,9350,0.000%,776.56382,1075.46,766.37
/app/member/phoneNumber/get,223344,188,157,372,514,640,11,3340,0.000%,743.37980,266.72,738.05
/app/setup/setAlarmInfo,227332,189,161,330,441,675,24,3306,0.000%,757.35679,302.09,876.29
/app/myFavorite2,230222,184,157,338,485,677,16,9184,0.000%,767.14072,304.49,769.13
/app/banner/meet/mytab,225466,188,159,343,520,669,14,3335,0.000%,744.97520,295.68,735.99
/v1/title/like/count,221472,190,153,384,520,755,11,9208,0.000%,737.37481,534.72,736.66
/v1/title/$titleno/episode/$episodeno/like,449452,187,153,393,541,694,12,9117,0.000%,680.71869,485.30,730.76
/v1/ppl/statistics,226227,187,158,338,508,660,14,9100,0.000%,753.63280,300.60,780.08
/app/promotionInfo,228492,188,154,326,490,842,20,9807,0.000%,760.02115,621.56,762.73
/app/member/nickname/validate,225748,186,159,358,510,647,13,3437,0.000%,752.14985,318.25,761.36
/app/client/version,229912,185,159,322,465,666,15,9236,0.000%,765.97503,574.31,754.49
/app/collection/list,227598,186,163,320,455,651,14,9171,0.000%,758.26823,12272.93,747.64
/app/retention/episode/info,232909,184,155,319,462,643,19,9199,0.000%,776.19774,308.08,790.34
/app/favorite/totalRemoveAll,227837,186,155,336,526,690,16,21020,0.004%,758.98610,302.74,754.25
/app/home/recommend2,229628,186,161,310,451,689,18,9194,0.000%,764.79953,7527.24,754.08
/app/member/info/v2,231010,184,155,327,481,686,16,9112,0.000%,769.41780,499.92,757.88
/app/retention/title/info,228459,187,155,327,483,690,19,9218,0.000%,761.38534,328.92,763.80
/app/home/leadUpLook,227673,186,160,329,475,628,13,21026,0.001%,757.78091,1935.49,740.49
/app/serviceInfo,218592,191,158,416,544,672,10,4043,0.000%,728.36565,582.04,715.31
/app/home/menus,225186,188,159,349,504,651,12,9169,0.000%,743.96892,1196.17,723.37
/app/favorite/isFavorite,228376,187,156,321,495,715,19,9307,0.000%,760.41941,303.99,762.39
/app/ppl/info,229483,183,156,339,476,646,11,21018,0.000%,764.36496,397.77,770.33
/app/episode/imageList/download,231952,184,156,310,491,713,17,9185,0.000%,772.77664,3272.52,805.89
/v1/title/$titleno/episode/likeAndCount,231107,182,150,353,497,663,13,9461,0.000%,770.08200,561.62,766.28
/app/episode/list/hide,223655,189,159,353,490,672,14,9065,0.000%,745.19375,368.57,748.57
/app/system/setting,226773,184,155,361,508,629,10,9099,0.000%,755.66567,312.39,759.10
/app/eventReadLog,229601,183,155,335,471,639,13,9151,0.000%,765.06889,303.55,807.63
/app/client/version/latest,229391,183,155,345,490,650,13,9185,0.000%,764.29528,566.38,761.05
/currentSystemTime,221297,190,158,374,517,723,10,9157,0.000%,736.94920,316.28,725.18
/app/splashinfo,229611,185,156,337,495,669,16,9097,0.000%,764.67160,491.41,771.13
/app/genreList2,222218,188,158,377,514,655,10,4056,0.000%,739.65909,876.45,725.68
/app/countryInfo,219192,191,157,417,537,686,10,3881,0.000%,730.29919,321.85,717.21
/app/home/menu/detail,210971,204,162,400,535,791,23,1680,0.000%,703.00936,3449.94,700.01
/app/episode/list/v3,456679,190,163,316,406,641,27,21023,0.000%,691.69055,11106.95,697.29
/app/starScore/set,230084,188,156,298,374,675,18,9226,1.544%,766.52763,325.13,773.74
/app/episode/motiontoonList/download,233049,184,149,303,406,686,22,9280,0.000%,776.52974,547.33,813.30
/v1/comment/ownall,298,31492,31353,33650,34662,40155,19304,42601,0.000%,.94213,8.29,0.95
TOTAL,12245256,218,159,401,549,1096,10,42601,0.064%,538.74036,1982.92,546.50
