Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/testing/configInfo,70315,425,426,482,509,584,45,1469,0.000%,234.15152,99.92,120.80
TOTAL,70315,425,426,482,509,584,45,1469,0.000%,234.15152,99.92,120.80
