Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/app/rsakey/get,1,37,37,37,37,37,37,37,0.000%,27.02703,19.50,8.53
获取加密encpw,1,7,7,7,7,7,7,7,0.000%,142.85714,0.00,0.00
/app/member/id/login,1,73,73,73,73,73,73,73,0.000%,13.69863,15.33,9.31
/app/author/info2,225217,125,103,209,260,411,25,9159,0.000%,750.49318,938.92,747.25
/app/title/list2,18483,1612,1543,2416,2728,3689,165,7619,0.000%,61.45759,42096.54,59.76
TOTAL,243703,237,105,328,1323,2339,7,9159,0.000%,337.21278,17907.96,335.16
