Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/app/home4,30479,981,923,1382,1538,1859,331,2765,0.000%,101.43538,2861.26,39.52
TOTAL,30479,981,923,1382,1538,1859,331,2765,0.000%,101.43538,2861.26,39.52
