Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/app/home4,39603,754,686,1132,1286,1618,249,2473,0.000%,131.83159,3950.51,132.66
TOTAL,39603,754,686,1132,1286,1618,249,2473,0.000%,131.83159,3950.51,132.66
